idx,d0,d1,d2,maqaf,paseq,break
1.18.6,האור,הָאוֹר,הָא֖וֹר,,False,
1.18.7,ובין,וּבֵין,וּבֵ֣ין,,False,
1.18.8,החשך,הַחֹשֶׁךְ,הַחֹ֑שֶׁךְ,,False,
1.18.9,וירא,וַיַּרְא,וַיַּ֥רְא,,False,
1.18.10,אלהים,אֱלֹהִים,אֱלֹהִ֖ים,,False,
1.18.11,כי,כִּי,כִּי,"(1, 2)",False,
1.18.12,טוב,טוֹב׃,טֽוֹב׃,"(2, 2)",False,
1.19.1,ויהי,וַיְהִי,וַֽיְהִי,"(1, 2)",False,
1.19.2,ערב,עֶרֶב,עֶ֥רֶב,"(2, 2)",False,
1.19.3,ויהי,וַיְהִי,וַֽיְהִי,"(1, 2)",False,
1.19.4,בקר,בֹקֶר,בֹ֖קֶר,"(2, 2)",False,
1.19.5,יום,יוֹם,י֥וֹם,,False,
1.19.6,רביעי,רְבִיעִי׃,רְבִיעִֽי׃,,False,(פ)
1.20.1,ויאמר,וַיֹּאמֶר,וַיֹּ֣אמֶר,,False,
1.20.2,אלהים,אֱלֹהִים,אֱלֹהִ֔ים,,False,
1.20.3,ישרצו,יִשְׁרְצוּ,יִשְׁרְצ֣וּ,,False,
1.20.4,המים,הַמַּיִם,הַמַּ֔יִם,,False,
1.20.5,שרץ,שֶׁרֶץ,שֶׁ֖רֶץ,,False,
1.20.6,נפש,נֶפֶשׁ,נֶ֣פֶשׁ,,False,
1.20.7,חיה,חַיָּה,חַיָּ֑ה,,False,
1.20.8,ועוף,וְעוֹף,וְעוֹף֙,,False,
1.20.9,יעופף,יְעוֹפֵף,יְעוֹפֵ֣ף,,False,
1.20.10,על,עַל,עַל,"(1, 2)",False,
1.20.11,הארץ,הָאָרֶץ,הָאָ֔רֶץ,"(2, 2)",False,
1.20.12,על,עַל,עַל,"(1, 2)",False,
1.20.13,פני,פְּנֵי,פְּנֵ֖י,"(2, 2)",False,
1.20.14,רקיע,רְקִיעַ,רְקִ֥יעַ,,False,
1.20.15,השמים,הַשָּׁמָיִם׃,הַשָּׁמָֽיִם׃,,False,
1.21.1,ויברא,וַיִּבְרָא,וַיִּבְרָ֣א,,False,
1.21.2,אלהים,אֱלֹהִים,אֱלֹהִ֔ים,,False,
1.21.3,את,אֶת,אֶת,"(1, 2)",False,
1.21.4,התנינם,הַתַּנִּינִם,הַתַּנִּינִ֖ם,"(2, 2)",False,
1.21.5,הגדלים,הַגְּדֹלִים,הַגְּדֹלִ֑ים,,False,
1.21.6,ואת,וְאֵת,וְאֵ֣ת,,False,
1.21.7,כל,כָּל,כָּל,"(1, 2)",False,
1.21.8,נפש,נֶפֶשׁ,נֶ֣פֶשׁ,"(2, 2)",False,
1.21.9,החיה,הַחַיָּה,הַֽחַיָּ֣ה,,True,
1.21.10,הרמשת,הָרֹמֶשֶׂת,הָֽרֹמֶ֡שֶׂת,,False,
1.21.11,אשר,אֲשֶׁר,אֲשֶׁר֩,,False,
1.21.12,שרצו,שָׁרְצוּ,שָׁרְצ֨וּ,,False,
1.21.13,המים,הַמַּיִם,הַמַּ֜יִם,,False,
